My rent is too high,"Use the website huurcommissie.nl to calculate the initial allowed rent price. In case you can prove that your initial rent is too high, your landlord might not agree with a decrease in rent or a refund of the overpaid amount. In that case, you can present the dispute to the rental commission. If you do this within six months after you signed your contract, you can reclaim the overpaid amount of rent from the moment you initiated the procedure."
Is the landlord allowed to ask for a deposit,"From a juridical standpoint, there are no objections concerning the request of a deposit. If the rented accommodation is in a good state when you leave as a tenant, you will receive back the paid deposit. If the rented accommodation is not in the state that was originally agreed upon,, or when rent has not been paid, then the landlord can compensate the damage with the paid deposit."
How high can the doposit be,"Normally speaking, the amount of deposit equals one month of rent. In case you are paying a lower rent, it might occur that the landlord asks for two months of deposit. In general, deposits of more than two months are not considered reasonable."
The landlord will not give me back my deposit,"At the time of departure, your landlord will inspect the rented accommodation. In case damages or other defects are detected, the landlord can hold the tenant responsible and compensate the suffered damages with the paid deposit. When you disagree as a tenant, you can start a procedure in order to still get the full amount of deposit refunded. In this case, the landlord has to prove that something is actually wrong about the rented space that you as a tenant can be held accountable for. In other words, the burden of proof lies with the landlord."
Can i sublease my room to someone else,"Subleasing your room, apartment or house (renting it out to someone else) is only allowed when you have permission from your landlord. If you sublease your home or room without permission from your landlord, he or she step to court in order to terminate your rental agreement. As a result, you are no longer able to provide the living comfort that you agreed on with your subtenant. When the contract between you and your subtenant comes to an end, the subtenant does not automatically have the right to stay in the sublet."
How should i communicate issues with my landlord,"No matter the cause of the issue, try to make the situation “work” for as long as possible, in other words: don’t make it more severe. Stay correct and professional (concentrate on the facts, and don’t let your emotions guide you) during all contact with your landlord. This way, you prevent yourself of being accused of acting incorrectly or inappropriately later on."
Can i paint or modify my apartment,"You can ask your landlord about these modifications, but ultimately it is the owner who has the final say."
Is a verbal agreement binding,"According to Dutch law, if you make a verbal agreement, even without signing a physical agreement, it is still binding! Beware of this when thinking about your options, and remember that when you come to an agreement with someone, by law, it is as if you signed a contract."
Can i terminate a contract before the minimal rent time has passed,"Even if you are staying for six months, do not hesitate to sign a one-year contract. You can terminate it anytime you wish (provided you honour the notice period)."
Should i sign a pre-contract,"If an agent asks you to sign a pre-contract agreement (usually in Dutch) in order to hold a place in the queue, be sure that you really want to rent the house, otherwise you may be asked later to pay compensation, even if you are not interested anymore. The same applies to verbal contracts / deals, which are binding under Dutch law."
The apartment has pre-existing damages,"Inspect the property before signing the contract to be able to notify the landlord about pre-existing damages (e.g. heating system, radiator etc.)."
What is anti-squatting renting,"A form of very cheap, basic accommodation, anti-squatting networks divide empty buildings into rooms and rent them out at a low rate. Tenants have fewer rights, tenancies are typically short and end suddenly when the building is sold. Facilities are usually basic, but rooms can be large and quiet and rents can be as low as EUR 150 per month."
I got scammed renting an apartment,Immediately contact the police and press charges
